Name,#S,#N,#C,CT,TS,Acc
Acute-Inflammation,120,6,0,B,9,100%
Acute-Nephritis,120,7,0,B,5,96%
Analcatdata_Boxing1,120,1,2,B,21,78%
Analcatdata_Lawsuit,264,4,0,B,13,100%
Annealing,898,31,0,C,51,93%
Ar4,107,29,0,B,17,75%
Audiology-Std,196,59,0,C,19,87%
Bank,4521,16,0,B,17,92%
Baseball,1340,15,1,C,5,93%
Blood,748,4,0,B,11,80%
Bodyfat,252,14,0,B,3,98%
Braziltourism,412,1,7,C,7,75%
Breast-Cancer-Wisc-Diag,569,30,0,B,7,89%
Breast-Cancer-Wisc,699,9,0,B,19,92%
Car,1728,6,0,C,55,92%
Caradiotocography10Clases,2126,21,0,C,45,84%
Cardiotocography3Clases,2126,21,0,C,23,93%
Chatfield_4,235,12,0,B,17,85%
Chscase_Vine1,52,9,0,B,7,100%
Credit-Approval,690,15,0,B,3,85%
Dermatology,366,34,0,C,13,92%
Diggle_Table_A2,310,8,0,B,3,100%
Echocardiogram,131,10,0,B,3,92%
Ecoli,336,7,0,C,5,77%
Elusage,55,2,0,B,7,90%
Energy-Y1,768,8,0,C,19,94%
Energy-Y2,768,8,0,C,15,95%
Fertility,100,9,0,B,1,79%
Heart-Hungarian,294,12,0,B,29,89%
Hepatitis,155,19,0,B,11,80%
Horse-Colic,368,25,0,B,13,83%
Image-Segmentation,2310,18,0,C,51,95%
Ionosphere,351,33,0,B,17,87%
Iris,150,4,0,C,9,90%
Kc3,458,39,0,B,5,87%
Kidney,76,4,2,B,9,93%
Low-Res-Spect,531,100,0,C,19,81%
Lowbwt,189,9,0,B,3,89%
Mammographic,961,5,0,B,5,82%
Meta,528,19,2,B,1,87%
Mfeat-Karhunen,2000,64,0,C,57,76%
Mfeat-Morphological,2000,6,0,B,11,100%
Molec-Biol-Splice,3190,60,0,C,55,93%
Monks-1,556,6,0,B,29,77%
Monks-3,554,6,0,B,5,92%
Newton_Hema,140,2,1,B,17,85%
Oocytes_Merluccius_States_2F,1022,25,0,C,13,85%
Oocytes_Trisopterus_States_5B,912,32,0,C,15,90%
Ozone,2536,72,0,B,1,97%
Parkinsons,195,22,0,B,11,82%
Pittsburg-Bridges-Material,106,7,0,C,13,80%
Pittsburg-Bridges-T-Or-D_R,102,7,0,B,25,79%
Prnn_Synth,250,2,0,B,3,88%
Rabe_131,50,5,0,B,3,100%
Schlvote,38,5,0,B,3,83%
Seeds,210,7,0,C,15,95%
Socmob,1156,1,4,B,29,94%
Solar-Flare,1066,9,3,C,1,99%
Soybean,683,35,0,C,57,84%
Spect,265,22,0,B,5,77%
Spectf,267,44,0,B,5,83%
Squash-Unstored,52,22,1,C,3,100%
Statlog-Image,2310,18,0,C,51,96%
Synthetic-Control,600,60,0,C,41,78%
Tic-Tac-Toe,958,9,0,B,51,94%
Transplant,131,2,0,B,3,92%
Vertebral-Column-2Clases,310,6,0,B,15,77%
Vertebral-Column-3Clases,310,6,0,C,13,82%
Visualizing_Livestock,130,0,2,B,5,96%
Vote,435,0,16,B,19,97%
Wall-Following,5456,24,0,C,33,99%
Wine,178,13,0,C,11,88%
Zoo,101,16,0,C,13,95%
