name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,BARINEL average wasted effort,BARINEL average fix accuracy,BARINEL average fix accuracy increase
acute-inflammation,7,8,31.250000000000004,70.83333333333336,-3.645833333333328,87.5,13.020833333333334,1.125,90.10416666666666,15.625
acute-nephritis,5,3,33.333333333333336,91.66666666666667,33.33333333333333,76.38888888888889,18.055555555555554,1.3333333333333333,72.22222222222223,13.888888888888888
analcatdata_boxing1,47,5,25.000000000000007,70.83333333333334,10.833333333333337,80.0,20.0,2.8,61.666666666666664,1.6666666666666656
analcatdata_lawsuit,3,2,32.6923076923077,94.23076923076923,45.192307692307686,82.6923076923077,33.65384615384615,1.0,92.3076923076923,43.269230769230774
annealing,27,10,53.370786516853926,82.68156424581005,43.91061452513967,89.9441340782123,51.17318435754189,2.9,88.3798882681564,49.608938547486034
audiology-std,43,8,36.84210526315789,48.71794871794872,-2.220446049250313e-16,60.256410256410255,11.538461538461538,11.25,46.79487179487179,-1.9230769230769234
bank,7,1,52.212389380530965,88.93805309734513,35.73008849557523,91.48230088495575,38.27433628318584,0.0,92.14601769911505,38.93805309734514
bodyfat,3,4,41.0,82.0,21.999999999999993,69.0,9.000000000000004,0.75,69.5,9.5
breast-cancer-wisc-diag,19,4,18.75,93.36283185840708,19.690265486725668,96.23893805309734,22.56637168141593,6.0,70.13274336283186,-3.5398230088495564
breast-cancer-wisc,5,4,56.52173913043479,88.48920863309353,55.395683453237424,92.44604316546764,59.35251798561152,1.0,62.94964028776978,29.856115107913674
caradiotocography10clases,39,12,24.882075471698116,69.62745098039215,15.843137254901963,67.92156862745098,14.137254901960782,8.25,57.117647058823536,3.3333333333333344
cardiotocography3clases,41,4,19.221698113207545,85.17647058823529,14.411764705882351,91.52941176470587,20.764705882352942,9.0,76.70588235294117,5.941176470588232
chatfield_4,5,4,28.260869565217387,78.72340425531915,4.255319148936171,89.36170212765958,14.893617021276597,2.0,80.85106382978724,6.382978723404259
chscase_vine1,9,3,40.0,40.0,3.552713678800501e-15,60.0,20.0,0.6666666666666666,73.33333333333333,33.333333333333336
credit-approval,5,4,25.000000000000004,84.05797101449275,23.18840579710145,67.02898550724638,6.159420289855072,1.0,77.89855072463769,17.028985507246375
dermatology,17,13,37.820512820512825,85.98524762908323,26.132771338250784,90.62170706006322,30.769230769230774,2.6923076923076925,74.28872497365647,14.436248682824028
diggle_table_a2,3,5,36.774193548387096,93.87096774193549,29.67741935483871,85.80645161290322,21.612903225806445,0.8,71.93548387096773,7.741935483870968
echocardiogram,3,2,42.30769230769231,69.23076923076923,19.23076923076923,88.46153846153845,38.46153846153846,0.0,88.46153846153845,38.46153846153846
ecoli,11,7,32.467532467532465,67.16417910447761,15.138592750533054,76.33262260127933,24.307036247334754,2.857142857142857,64.39232409381663,12.366737739872068
elusage,7,3,26.66666666666667,45.45454545454546,-9.090909090909092,66.66666666666667,12.121212121212123,0.0,78.7878787878788,24.242424242424246
energy-y1,59,9,27.63157894736842,89.54248366013074,21.71387073347858,89.54248366013073,21.713870733478576,2.4444444444444446,67.75599128540304,-0.07262164124909355
energy-y2,57,9,24.269005847953217,86.9281045751634,24.909222948438643,91.06753812636165,29.04865649963689,4.111111111111111,72.54901960784315,10.530137981118376
horse-colic,19,7,22.22222222222222,63.013698630137,4.500978473581211,81.80039138943246,23.28767123287671,6.857142857142857,68.88454011741683,10.371819960861059
ionosphere,5,4,26.428571428571427,85.35714285714286,28.21428571428571,87.14285714285715,30.0,1.0,86.42857142857143,29.28571428571428
iris,13,8,38.333333333333336,78.33333333333334,21.66666666666667,94.58333333333334,37.91666666666667,1.125,76.66666666666666,20.000000000000004
low-res-spect,59,7,32.345013477088955,75.47169811320755,20.35040431266847,85.98382749326147,30.862533692722373,18.571428571428573,74.79784366576817,19.676549865229113
lowbwt,7,2,30.55555555555555,81.08108108108108,27.027027027027028,51.351351351351354,-2.7027027027027026,1.0,72.97297297297297,18.918918918918912
mammographic,17,3,23.26388888888889,82.8125,22.048611111111114,82.9861111111111,22.222222222222218,4.0,79.34027777777779,18.57638888888889
meta,19,4,18.75,83.80952380952381,18.571428571428573,89.04761904761904,23.809523809523807,9.0,52.14285714285714,-13.095238095238098
mfeat-morphological,17,1,21.999999999999996,98.25,18.000000000000004,100.0,19.75,4.0,34.25,-46.0
molec-biol-splice,57,19,18.099323543969646,85.89341692789965,12.15970961887478,88.29401088929218,14.560303580267282,6.842105263157895,81.66969147005443,7.935984161029534
monks-1,51,16,28.295454545454543,67.56756756756758,-4.054054054054056,74.38063063063063,2.759009009009008,1.875,75.90090090090091,4.279279279279278
monks-3,27,10,29.090909090909086,88.36363636363639,14.54545454545455,82.72727272727272,8.90909090909091,3.6,79.0909090909091,5.272727272727274
oocytes_merluccius_states_2f,21,5,16.27450980392157,81.37254901960785,12.843137254901965,86.47058823529412,17.941176470588236,10.0,76.76470588235294,8.235294117647062
oocytes_trisopterus_states_5b,17,11,29.970029970029973,76.92307692307692,16.333666333666336,88.31168831168833,27.722277722277724,3.8181818181818183,79.82017982017982,19.23076923076923
parkinsons,3,3,28.070175438596493,86.32478632478633,20.51282051282051,87.17948717948718,21.367521367521366,0.3333333333333333,65.81196581196582,0.0
pittsburg-bridges-MATERIAL,5,3,56.666666666666664,76.19047619047619,26.984126984126984,65.07936507936508,15.873015873015873,2.0,76.19047619047619,26.984126984126988
prnn_synth,13,3,25.33333333333334,82.0,22.666666666666668,78.0,18.66666666666666,0.6666666666666666,70.66666666666667,11.333333333333334
rabe_131,3,5,32.0,60.0,-4.000000000000002,62.0,-1.9999999999999996,0.4,68.0,3.999999999999998
schlvote,3,1,33.33333333333333,85.71428571428571,57.14285714285714,14.285714285714285,-14.285714285714285,1.0,85.71428571428571,57.14285714285714
seeds,15,5,28.571428571428566,80.47619047619048,29.52380952380952,85.23809523809524,34.285714285714285,3.2,56.190476190476204,5.238095238095239
socmob,37,4,44.347826086956516,76.19047619047619,32.467532467532465,67.85714285714286,24.134199134199136,2.75,41.883116883116884,-1.83982683982684
soybean,59,18,20.58823529411765,52.20588235294119,-5.4738562091503224,85.74346405228758,28.06372549019608,10.666666666666666,62.00980392156862,4.330065359477127
spect,3,2,36.53846153846155,69.81132075471697,33.018867924528294,73.58490566037736,36.79245283018868,0.0,77.35849056603774,40.566037735849065
squash-unstored,5,5,44.0,80.0,22.000000000000007,58.0,0.0,1.2,64.0,6.000000000000003
statlog-image,57,21,25.6441970727685,88.72397443826017,19.99587713873428,91.26984126984127,22.5417439703154,4.238095238095238,75.53081838796125,6.802721088435373
synthetic-control,39,15,23.66666666666666,66.66666666666664,-0.05555555555556092,89.05555555555556,22.333333333333332,8.8,73.44444444444447,6.7222222222222205
tic-tac-toe,49,9,17.192982456140353,71.20418848167539,-6.922629435718445,91.27399650959862,13.14717859220477,5.111111111111111,80.74461896451426,2.6178010471204196
transplant,7,3,58.97435897435897,89.74358974358974,39.74358974358975,73.07692307692308,23.07692307692308,0.0,56.41025641025641,6.410256410256412
vertebral-column-2clases,9,2,27.41935483870968,70.96774193548387,21.774193548387096,70.16129032258064,20.967741935483865,3.0,45.96774193548387,-3.2258064516129084
wall-following,41,21,33.87505460899957,95.94954388721574,30.387150277159442,96.30745056959537,30.745056959539085,5.428571428571429,77.87962114268255,12.317227532626248
wine,9,6,19.607843137254893,61.9047619047619,-2.380952380952382,91.90476190476191,27.619047619047617,2.0,68.09523809523809,3.809523809523809
zoo,15,5,34.0,75.0,18.0,92.0,35.0,4.2,77.0,20.0
TOTAL,31.426136363636363,6.6415094339622645,29.649156426637944,77.34810080989418,15.696481067322974,83.73809359128148,22.086473848710288,4.6477272727272725,72.46833957039999,10.816719827828804
